The intermediate results:
Round 1: 64460,0,0,2
Round 2: 128900,0,0,24
Round 3: 193333,1,6,47
Round 4: 257777,5,30,41
Round 5: 322230,4,38,44

The clustering results:
0,5
1,8
2,0
3,9
4,4
5,4
6,2
7,6
8,4
9,4
10,5
11,4
12,5
13,6
14,9
15,0
16,5
17,4
18,7
19,9
20,1
21,1
22,9
23,4
24,5
25,2
26,1
27,6
28,8
29,7
30,0
31,7
32,6
33,6
34,8
35,9
36,7
37,8
38,4
39,0
40,0
41,0
42,2
43,1
44,0
45,4
46,9
47,4
48,2
49,2
50,6
51,7
52,9
53,5
54,6
55,3
56,7
57,4
58,6
59,4
60,6
61,9
62,7
63,9
64,0
65,3
66,9
67,8
68,8
69,4
70,1
71,3
72,8
73,6
74,3
75,4
76,4
77,4
78,6
79,6
80,1
81,6
82,8
83,0
84,9
85,6
86,7
87,9
88,1
89,3
90,4
91,5
92,1
93,2
94,1
95,1
96,7
97,1
98,0
99,0
100,4
101,7
102,9
103,6
104,6
105,9
106,9
107,4
108,8
109,6
110,8
111,0
112,8
113,2
114,6
115,6
116,7
117,8
118,9
119,5
120,3
121,4
122,8
123,7
124,2
125,8
126,7
127,8
128,4
129,9
130,0
131,6
132,4
133,9
134,4
135,2
136,6
137,6
138,6
139,2
140,0
141,9
142,0
143,2
144,8
145,7
146,8
147,5
148,6
149,9
150,1
151,4
152,6
153,6
154,6
155,6
156,0
157,8
158,0
159,6
160,1
161,3
162,3
163,3
164,6
165,8
166,7
167,1
168,4
169,4
170,7
171,2
172,0
173,4
174,7
175,2
176,8
177,7
178,5
179,1
180,5
181,2
182,1
183,2
184,0
185,3
186,6
187,8
188,2
189,9
190,0
191,5
192,6
193,8
194,0
195,0
196,1
197,2
198,4
199,5
200,7
201,7
202,7
203,7
204,3
205,4
206,5
207,2
208,4
209,9
210,3
211,2
212,1
213,5
214,5
215,8
216,5
217,4
218,6
219,0
220,7
221,7
222,5
223,5
224,7
225,7
226,8
227,1
228,2
229,7
230,5
231,8
232,5
233,6
234,4
235,4
236,6
237,9
238,9
239,8
240,6
241,1
242,5
243,9
244,4
245,8
246,9
247,9
248,4
249,4
250,1
251,4
252,8
253,6
254,0
255,8
256,7
257,4
258,8
259,0
260,6
261,3
262,9
263,6
264,2
265,3
266,7
267,9
268,4
269,4
270,2
271,4
272,1
273,3
274,2
275,1
276,4
277,6
278,0
279,8
280,0
281,0
282,2
283,9
284,8
285,1
286,6
287,4
288,7
289,4
